0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1.0,4326.67,4048.21,4277.95,4149.23,4353.33,4615.9,4071.28,4604.1,4195.9,4245.13,4212.31,4277.44,4627.18,4375.9
0.0,4289.23,3986.15,4243.59,4099.49,4331.79,4616.41,4053.85,4613.33,4200.51,4225.13,4187.18,4267.18,4595.38,4338.97
0.0,4293.85,3972.82,4246.67,4105.13,4338.97,4625.13,4072.31,4612.82,4212.82,4237.95,4209.74,4272.31,4632.31,4370.77
0.0,4320.51,4036.92,4281.54,4137.95,4356.92,4646.15,4085.64,4638.46,4221.54,4264.62,4214.36,4305.13,4641.03,4389.23
0.0,4291.28,3990.26,4267.18,4117.95,4343.08,4614.87,4058.97,4609.74,4197.95,4221.54,4215.38,4286.67,4608.72,4367.18
0.0,4318.46,4022.56,4282.05,4117.95,4337.44,4611.79,4056.41,4617.95,4200.0,4243.59,4201.54,4271.28,4598.97,4375.38
0.0,4308.21,4051.28,4282.05,4160.51,4381.54,4653.33,4097.44,4674.87,4221.03,4245.13,4214.87,4286.15,4609.23,4354.87
0.0,4310.77,4004.1,4254.87,4109.23,4337.44,4627.18,4073.85,4597.44,4188.21,4250.26,4200.51,4278.97,4600.0,4358.46
0.0,4290.77,3980.0,4249.74,4106.67,4345.13,4618.46,4047.69,4620.0,4196.41,4237.95,4211.79,4272.31,4602.56,4351.28
0.0,4292.82,4018.97,4262.56,4126.67,4347.18,4617.95,4085.13,4615.9,4205.13,4221.54,4210.77,4276.92,4591.79,4363.59
0.0,4292.82,4007.18,4255.38,4123.59,4333.85,4620.0,4061.54,4613.33,4207.69,4236.92,4206.67,4280.51,4603.08,4351.79
0.0,4300.51,3981.03,4260.51,4121.03,4332.82,4615.9,4088.21,4610.77,4211.28,4231.79,4207.18,4282.56,4607.69,4352.82
0.0,4266.15,3958.46,4277.44,4124.62,4332.31,4615.38,4054.87,4600.0,4198.46,4217.95,4179.49,4282.05,4586.15,4322.05
0.0,4271.28,3980.0,4248.21,4108.72,4343.08,4626.67,4064.1,4624.62,4207.69,4219.49,4196.41,4265.13,4592.82,4339.49
0.0,4283.08,3966.15,4263.08,4105.13,4341.54,4632.82,4076.41,4626.15,4209.74,4240.0,4212.31,4283.59,4620.51,4351.79
0.0,4363.08,4056.41,4278.97,4131.28,4317.95,4611.79,4067.18,4611.28,4196.92,4228.72,4221.03,4290.26,4640.0,4424.62
0.0,4299.49,4000.51,4259.49,4121.03,4326.67,4606.67,4074.87,4608.21,4194.87,4218.97,4198.97,4278.97,4601.03,4352.31
0.0,4224.1,4022.56,4230.77,4121.54,4339.49,4613.33,4052.82,4587.69,4166.15,4158.97,4107.18,4226.67,4456.41,4233.85
0.0,4225.13,4015.38,4215.38,4105.64,4335.9,4614.36,4062.05,4604.62,4179.49,4198.97,4166.15,4228.21,4551.79,4278.97
0.0,4303.08,4016.92,4278.46,4127.18,4341.54,4625.64,4060.0,4609.23,4191.28,4225.64,4152.82,4273.85,4596.41,4364.62
1.0,4247.18,3958.46,4231.28,4095.9,4328.21,4611.28,4050.26,4626.15,4216.92,4235.38,4186.67,4260.0,4561.54,4317.95
0.0,4272.82,3984.62,4247.69,4103.08,4332.31,4612.82,4053.85,4594.87,4189.23,4213.33,4196.92,4265.64,4596.41,4336.41
1.0,4277.95,3991.79,4264.1,4105.13,4335.38,4596.92,4049.23,4606.15,4196.92,4225.13,4205.64,4277.95,4603.08,4352.31
1.0,4347.69,4063.08,4279.49,4140.0,4353.85,4618.97,4106.67,4606.15,4202.56,4227.18,4201.54,4288.72,4613.33,4388.72
1.0,4277.95,4047.69,4278.46,4154.36,4385.13,4656.92,4109.23,4648.72,4210.26,4241.03,4203.08,4284.1,4610.77,4328.72
0.0,4260.51,4016.41,4231.79,4106.15,4332.82,4611.79,4060.51,4601.54,4180.0,4202.05,4169.74,4244.1,4568.72,4311.79
0.0,4310.77,4006.67,4279.49,4138.97,4364.62,4645.64,4088.21,4627.69,4205.13,4249.74,4230.77,4302.56,4625.13,4381.54
0.0,4311.79,4016.41,4247.18,4125.64,4342.56,4631.28,4076.41,4601.03,4197.44,4245.13,4205.13,4284.1,4607.69,4381.03
0.0,4292.31,4043.08,4262.05,4113.85,4349.74,4623.08,4069.74,4591.79,4189.23,4217.95,4186.15,4274.87,4600.51,4349.23
0.0,4300.0,4003.59,4271.79,4104.1,4344.62,4628.21,4087.18,4634.36,4205.64,4244.62,4217.95,4296.41,4604.62,4366.67
1.0,4409.23,4054.36,4293.85,4137.95,4330.77,4604.62,4056.41,4608.72,4204.62,4248.21,4248.21,4317.44,4678.46,4478.97
0.0,4300.51,3993.85,4264.62,4106.15,4330.77,4625.13,4077.44,4614.36,4195.9,4233.85,4199.49,4283.08,4594.36,4369.74
1.0,4289.23,3997.95,4263.59,4129.23,4335.38,4627.69,4099.49,4625.64,4201.03,4236.41,4208.72,4275.38,4607.69,4347.69
1.0,4301.03,4003.08,4262.05,4106.67,4334.87,4617.44,4058.97,4626.15,4212.31,4246.67,4187.18,4280.0,4613.33,4353.85
0.0,4304.62,4026.67,4267.69,4127.18,4358.46,4580.0,4096.41,4616.92,4204.62,4244.1,4210.77,4282.56,4605.64,4358.97
1.0,4250.77,3976.41,4251.28,4106.15,4334.87,4620.51,4068.21,4605.64,4192.31,4184.62,4151.28,4258.46,4524.62,4300.0
0.0,4301.54,4005.13,4262.05,4120.51,4330.26,4616.92,4071.79,4597.95,4201.54,4233.85,4206.15,4284.62,4600.0,4367.18
1.0,4309.23,4003.59,4249.74,4111.28,4326.15,4596.92,4061.54,4584.1,4170.77,4206.67,4182.05,4268.21,4596.41,4375.38
1.0,4340.0,3976.41,4270.77,4131.79,4318.97,4614.87,4080.0,4607.69,4191.79,4224.62,4172.31,4289.74,4620.0,4402.56
0.0,4274.36,4010.77,4255.38,4124.62,4360.0,4633.33,4084.62,4626.67,4218.46,4246.67,4204.1,4265.64,4605.64,4335.9
0.0,4300.51,3993.33,4263.59,4106.67,4331.79,4622.05,4079.49,4610.77,4203.08,4229.23,4202.56,4285.13,4597.44,4380.51
0.0,4301.03,4003.59,4278.97,4152.82,4355.38,4632.31,4081.03,4640.0,4218.97,4241.03,4209.23,4285.64,4612.82,4351.79
0.0,4303.59,4004.1,4267.18,4107.18,4344.62,4624.62,4084.1,4614.36,4209.74,4246.67,4214.87,4285.64,4607.69,4374.36
0.0,4296.41,3997.95,4254.36,4101.03,4345.13,4631.28,4069.74,4630.26,4228.72,4245.13,4226.15,4280.51,4630.77,4369.23
1.0,4315.38,4000.51,4277.44,4123.08,4352.31,4632.82,4100.0,4629.74,4201.54,4227.69,4209.23,4285.13,4611.79,4390.26
1.0,4283.08,3987.18,4250.77,4109.23,4341.03,4605.13,4051.28,4618.97,4208.21,4227.69,4211.28,4277.95,4600.51,4356.41
0.0,4299.49,4009.23,4249.74,4119.49,4346.15,4582.05,4097.44,4615.38,4195.9,4231.28,4205.64,4281.03,4597.44,4343.59
1.0,4282.05,3985.13,4265.13,4126.67,4361.54,4626.67,4085.64,4615.9,4206.15,4229.23,4198.46,4264.62,4593.33,4354.36
0.0,4431.79,4072.31,4304.62,4154.36,4350.77,4621.03,4077.44,4601.54,4211.28,4275.9,4249.74,4321.54,4685.64,4476.41
1.0,4347.18,4006.67,4296.92,4151.79,4384.62,4666.67,4111.28,4654.36,4232.82,4253.33,4201.54,4299.49,4604.1,4378.46
1.0,4280.0,4013.33,4264.1,4128.21,4335.9,4624.1,4087.18,4618.97,4193.85,4223.59,4190.26,4270.77,4587.18,4336.92
1.0,4300.51,3994.36,4265.13,4135.9,4349.74,4617.44,4042.05,4610.26,4193.33,4233.85,4212.82,4284.1,4613.33,4372.82
0.0,4209.74,4075.9,4227.69,4139.49,4345.13,4617.95,4060.0,4584.62,4169.23,4191.28,4121.03,4216.41,4467.18,4227.69
1.0,4281.54,4001.54,4261.54,4134.87,4346.15,4616.92,4055.38,4620.0,4196.92,4231.79,4181.54,4271.28,4587.18,4338.46
0.0,4336.41,4041.54,4271.79,4139.49,4324.62,4603.08,4060.0,4614.87,4183.59,4211.28,4182.05,4281.03,4608.21,4385.13
0.0,4302.56,4006.67,4262.05,4127.69,4345.64,4618.97,4053.85,4611.79,4195.38,4236.41,4198.97,4269.74,4601.54,4362.56
